id,name,zone,type
0,V1_Zone1_Tree_Node1,Zone1_Tree,0
1,V2_Zone1_Tree_Node2,Zone1_Tree,1
2,V3_Zone1_Tree_Node3,Zone1_Tree,1
3,V4_Zone1_Tree_Node4,Zone1_Tree,1
4,V5_Zone1_Tree_Node5,Zone1_Tree,1
5,V6_Zone1_Tree_Node6,Zone1_Tree,1
6,V7_Zone1_Tree_Node7,Zone1_Tree,1
7,V8_Zone1_Tree_Node8,Zone1_Tree,1
8,V9_Zone2_Mesh_Node1,Zone2_Mesh,2
9,V10_Zone2_Mesh_Node2,Zone2_Mesh,2
10,V11_Zone2_Mesh_Node3,Zone2_Mesh,2
11,V12_Zone2_Mesh_Node4,Zone2_Mesh,2
12,V13_Zone2_Mesh_Node5,Zone2_Mesh,2
13,V14_Zone2_Mesh_Node6,Zone2_Mesh,2
14,V15_Zone2_Mesh_Node7,Zone2_Mesh,2
15,V16_Zone2_Mesh_Node8,Zone2_Mesh,2
16,V17_Zone3_Linear_Node1,Zone3_Linear,1
17,V18_Zone3_Linear_Node2,Zone3_Linear,1
18,V19_Zone3_Linear_Node3,Zone3_Linear,1
19,V20_Zone3_Linear_Node4,Zone3_Linear,1
20,V21_Zone3_Linear_Node5,Zone3_Linear,1
21,V22_Zone3_Linear_Node6,Zone3_Linear,1
22,V23_Zone3_Linear_Node7,Zone3_Linear,1
23,V24_Zone3_Linear_Node8,Zone3_Linear,1
