timestamp_idx,node_idx,node_name,flow,speed,occupancy,queue_length,junction_type,coord_x,coord_y,precip_intensity,visibility,temperature
0,0,V1_Borivali_Toll,642.01,51.43,0.0971,84.02,0,0.2,0.9,0.0,5000.0,25.02
0,1,V2_JVLR_Interchange,704.27,37.56,0.1305,62.58,2,0.35,0.7,0.0,5000.0,25.02
0,2,V3_Dadar_TT_Circle,503.24,39.96,0.0945,63.79,2,0.45,0.35,0.0,5000.0,25.02
0,3,V4_Jogeshwari_WEH,457.12,41.57,0.07,46.9,1,0.28,0.75,0.0,5000.0,25.02
0,4,V5_BKC_Connector,762.23,41.24,0.1462,9.42,2,0.4,0.55,0.0,5000.0,25.02
0,5,V6_Sion_Circle,780.67,39.65,0.1413,54.28,2,0.52,0.5,0.0,5000.0,25.02
0,6,V7_Lower_Parel,498.42,39.37,0.0877,21.46,1,0.42,0.3,0.0,5000.0,25.02
0,7,V8_South_Terminal,484.6,58.14,0.0556,14.35,0,0.5,0.15,0.0,5000.0,25.02
1,0,V1_Borivali_Toll,382.79,54.45,0.05,35.85,0,0.2,0.9,0.19,5000.0,24.83
1,1,V2_JVLR_Interchange,871.02,34.86,0.1985,49.7,2,0.35,0.7,0.19,5000.0,24.83
1,2,V3_Dadar_TT_Circle,721.91,36.18,0.1468,66.47,2,0.45,0.35,0.19,5000.0,24.83
1,3,V4_Jogeshwari_WEH,547.81,39.5,0.1135,45.89,1,0.28,0.75,0.19,5000.0,24.83
1,4,V5_BKC_Connector,792.81,39.01,0.1541,54.34,2,0.4,0.55,0.19,5000.0,24.83
1,5,V6_Sion_Circle,759.3,41.5,0.1443,5.38,2,0.52,0.5,0.19,5000.0,24.83
1,6,V7_Lower_Parel,378.08,43.86,0.05,0.0,1,0.42,0.3,0.19,5000.0,24.83
1,7,V8_South_Terminal,414.56,55.58,0.0708,30.2,0,0.5,0.15,0.19,5000.0,24.83
2,0,V1_Borivali_Toll,564.93,51.1,0.1177,47.32,0,0.2,0.9,0.38,4995.24,24.74
2,1,V2_JVLR_Interchange,728.63,39.56,0.1093,69.33,2,0.35,0.7,0.38,4995.24,24.74
2,2,V3_Dadar_TT_Circle,749.66,40.66,0.1292,51.32,2,0.45,0.35,0.38,4995.24,24.74
2,3,V4_Jogeshwari_WEH,347.68,38.0,0.05,48.92,1,0.28,0.75,0.38,4995.24,24.74
2,4,V5_BKC_Connector,596.52,39.85,0.1052,36.58,2,0.4,0.55,0.38,4995.24,24.74
2,5,V6_Sion_Circle,460.37,42.06,0.0819,16.28,2,0.52,0.5,0.38,4995.24,24.74
2,6,V7_Lower_Parel,615.8,40.1,0.1178,56.03,1,0.42,0.3,0.38,4995.24,24.74
2,7,V8_South_Terminal,327.01,56.76,0.0778,20.8,0,0.5,0.15,0.38,4995.24,24.74
3,0,V1_Borivali_Toll,406.51,52.54,0.0665,48.76,0,0.2,0.9,0.57,5000.0,23.82
3,1,V2_JVLR_Interchange,609.22,43.69,0.121,11.14,2,0.35,0.7,0.57,5000.0,23.82
3,2,V3_Dadar_TT_Circle,726.71,43.81,0.1322,0.0,2,0.45,0.35,0.57,5000.0,23.82
3,3,V4_Jogeshwari_WEH,508.18,38.99,0.0773,75.65,1,0.28,0.75,0.57,5000.0,23.82
3,4,V5_BKC_Connector,801.58,40.54,0.1598,22.17,2,0.4,0.55,0.57,5000.0,23.82
3,5,V6_Sion_Circle,591.14,43.35,0.1019,3.48,2,0.52,0.5,0.57,5000.0,23.82
