timestamp_idx,edge_idx,edge_name,src_node,dst_node,capacity,effective_capacity,length,pci,speed_limit,lanes,incident_flag,flow,speed,target_next_flow,target_next_speed
0,0,E0_V1->V2,0,1,4000.0,4000.0,3.5,85.0,70.0,4.0,0,630.23,70.0,602.27,69.42
0,1,E1_V1->V4,0,3,3200.0,3200.0,2.8,80.0,60.0,3.0,0,520.21,60.0,553.24,60.0
0,2,E2_V1->V5,0,4,3000.0,3000.0,4.5,75.0,60.0,3.0,0,649.94,59.14,608.57,60.0
0,3,E3_V2->V3,1,2,3500.0,3500.0,4.0,78.0,60.0,4.0,0,601.67,60.0,808.25,59.83
0,4,E4_V2->V5,1,4,2800.0,2800.0,1.8,82.0,50.0,3.0,0,716.59,49.26,785.15,45.86
0,5,E5_V3->V8,2,7,4200.0,4200.0,2.5,90.0,80.0,4.0,0,493.51,79.33,621.4,79.08
0,6,E6_V4->V5,3,4,2500.0,2500.0,1.5,70.0,50.0,2.0,0,675.68,49.03,655.77,50.0
0,7,E7_V5->V6,4,5,3600.0,3600.0,2.0,75.0,50.0,4.0,0,792.43,46.88,754.57,50.0
0,8,E8_V6->V2,5,1,2400.0,1200.0,2.2,72.0,50.0,2.0,1,378.9,46.88,832.74,49.54
0,9,E9_V6->V7,5,6,2800.0,2800.0,3.0,76.0,50.0,3.0,0,585.67,48.43,529.49,49.79
0,10,E10_V7->V3,6,2,3100.0,3100.0,2.1,80.0,50.0,3.0,0,525.14,48.15,605.8,46.62
1,0,E0_V1->V2,0,1,4000.0,3994.97,3.5,84.95,70.0,4.0,0,602.27,69.42,613.78,67.76
1,1,E1_V1->V4,0,3,3200.0,3195.98,2.8,79.95,60.0,3.0,0,553.24,60.0,387.52,60.0
1,2,E2_V1->V5,0,4,3000.0,2996.23,4.5,74.95,60.0,3.0,0,608.57,60.0,667.93,60.0
1,3,E3_V2->V3,1,2,3500.0,3495.6,4.0,77.95,60.0,4.0,0,808.25,59.83,721.84,60.0
1,4,E4_V2->V5,1,4,2800.0,2796.48,1.8,81.95,50.0,3.0,0,785.15,45.86,624.12,50.0
1,5,E5_V3->V8,2,7,4200.0,4194.72,2.5,89.95,80.0,4.0,0,621.4,79.08,561.9,78.93
1,6,E6_V4->V5,3,4,2500.0,2496.86,1.5,69.95,50.0,2.0,0,655.77,50.0,438.15,50.0
1,7,E7_V5->V6,4,5,3600.0,3595.48,2.0,74.95,50.0,4.0,0,754.57,50.0,505.13,48.63
1,8,E8_V6->V2,5,1,2400.0,2396.98,2.2,71.95,50.0,2.0,0,832.74,49.54,582.26,48.17
1,9,E9_V6->V7,5,6,2800.0,2796.48,3.0,75.95,50.0,3.0,0,529.49,49.79,555.97,48.09
1,10,E10_V7->V3,6,2,3100.0,3096.1,2.1,79.95,50.0,3.0,0,605.8,46.62,706.36,50.0
2,0,E0_V1->V2,0,1,4000.0,3989.95,3.5,84.91,70.0,4.0,0,613.78,67.76,454.49,70.0
2,1,E1_V1->V4,0,3,3200.0,3191.96,2.8,79.91,60.0,3.0,0,387.52,60.0,431.15,58.66
2,2,E2_V1->V5,0,4,3000.0,2992.46,4.5,74.91,60.0,3.0,0,667.93,60.0,592.85,59.67
2,3,E3_V2->V3,1,2,3500.0,3491.2,4.0,77.91,60.0,4.0,0,721.84,60.0,651.7,60.0
2,4,E4_V2->V5,1,4,2800.0,2792.96,1.8,81.91,50.0,3.0,0,624.12,50.0,782.31,50.0
2,5,E5_V3->V8,2,7,4200.0,4189.44,2.5,89.91,80.0,4.0,0,561.9,78.93,501.63,80.0
2,6,E6_V4->V5,3,4,2500.0,2493.72,1.5,69.91,50.0,2.0,0,438.15,50.0,654.28,50.0
2,7,E7_V5->V6,4,5,3600.0,3590.95,2.0,74.91,50.0,4.0,0,505.13,48.63,711.82,49.18
2,8,E8_V6->V2,5,1,2400.0,2393.97,2.2,71.91,50.0,2.0,0,582.26,48.17,588.88,47.03
2,9,E9_V6->V7,5,6,2800.0,2792.96,3.0,75.91,50.0,3.0,0,555.97,48.09,494.34,50.0
2,10,E10_V7->V3,6,2,3100.0,3092.21,2.1,79.91,50.0,3.0,0,706.36,50.0,656.7,47.58
3,0,E0_V1->V2,0,1,4000.0,3984.92,3.5,84.86,70.0,4.0,0,454.49,70.0,533.84,67.57
3,1,E1_V1->V4,0,3,3200.0,3187.94,2.8,79.86,60.0,3.0,0,431.15,58.66,422.2,60.0
3,2,E2_V1->V5,0,4,3000.0,2988.69,4.5,74.86,60.0,3.0,0,592.85,59.67,606.52,60.0
3,3,E3_V2->V3,1,2,3500.0,3486.8,4.0,77.86,60.0,4.0,0,651.7,60.0,620.39,60.0
3,4,E4_V2->V5,1,4,2800.0,2789.44,1.8,81.86,50.0,3.0,0,782.31,50.0,763.32,50.0
3,5,E5_V3->V8,2,7,4200.0,4184.17,2.5,89.86,80.0,4.0,0,501.63,80.0,565.15,79.61
3,6,E6_V4->V5,3,4,2500.0,2490.57,1.5,69.86,50.0,2.0,0,654.28,50.0,546.14,50.0
3,7,E7_V5->V6,4,5,3600.0,3586.43,2.0,74.86,50.0,4.0,0,711.82,49.18,589.28,50.0
3,8,E8_V6->V2,5,1,2400.0,2390.95,2.2,71.86,50.0,2.0,0,588.88,47.03,637.6,50.0
3,9,E9_V6->V7,5,6,2800.0,2789.44,3.0,75.86,50.0,3.0,0,494.34,50.0,495.52,50.0
3,10,E10_V7->V3,6,2,3100.0,3088.31,2.1,79.86,50.0,3.0,0,656.7,47.58,621.76,50.0
4,0,E0_V1->V2,0,1,4000.0,3979.89,3.5,84.81,70.0,4.0,0,533.84,67.57,536.53,70.0
4,1,E1_V1->V4,0,3,3200.0,3183.91,2.8,79.81,60.0,3.0,0,422.2,60.0,639.66,59.59
4,2,E2_V1->V5,0,4,3000.0,2984.92,4.5,74.81,60.0,3.0,0,606.52,60.0,676.49,59.9
4,3,E3_V2->V3,1,2,3500.0,3482.41,4.0,77.81,60.0,4.0,0,620.39,60.0,604.24,60.0
4,4,E4_V2->V5,1,4,2800.0,2785.93,1.8,81.81,50.0,3.0,0,763.32,50.0,757.01,49.91
4,5,E5_V3->V8,2,7,4200.0,4178.89,2.5,89.81,80.0,4.0,0,565.15,79.61,622.59,80.0
4,6,E6_V4->V5,3,4,2500.0,2487.43,1.5,69.81,50.0,2.0,0,546.14,50.0,651.75,47.04
4,7,E7_V5->V6,4,5,3600.0,3581.9,2.0,74.81,50.0,4.0,0,589.28,50.0,652.22,46.77
4,8,E8_V6->V2,5,1,2400.0,2387.94,2.2,71.81,50.0,2.0,0,637.6,50.0,657.3,47.89
4,9,E9_V6->V7,5,6,2800.0,2785.93,3.0,75.81,50.0,3.0,0,495.52,50.0,585.81,50.0
4,10,E10_V7->V3,6,2,3100.0,3084.42,2.1,79.81,50.0,3.0,0,621.76,50.0,545.47,50.0
5,0,E0_V1->V2,0,1,4000.0,3974.87,3.5,84.76,70.0,4.0,0,536.53,70.0,549.5,67.07
5,1,E1_V1->V4,0,3,3200.0,3179.89,2.8,79.76,60.0,3.0,0,639.66,59.59,329.77,57.79
5,2,E2_V1->V5,0,4,3000.0,2981.15,4.5,74.76,60.0,3.0,0,676.49,59.9,512.84,60.0
5,3,E3_V2->V3,1,2,3500.0,3478.01,4.0,77.76,60.0,4.0,0,604.24,60.0,700.46,59.99
5,4,E4_V2->V5,1,4,2800.0,2782.41,1.8,81.76,50.0,3.0,0,757.01,49.91,588.5,50.0
5,5,E5_V3->V8,2,7,4200.0,4173.61,2.5,89.76,80.0,4.0,0,622.59,80.0,587.08,78.07
5,6,E6_V4->V5,3,4,2500.0,2484.29,1.5,69.76,50.0,2.0,0,651.75,47.04,399.98,50.0
5,7,E7_V5->V6,4,5,3600.0,3577.38,2.0,74.76,50.0,4.0,0,652.22,46.77,540.2,49.78
5,8,E8_V6->V2,5,1,2400.0,2384.92,2.2,71.76,50.0,2.0,0,657.3,47.89,687.67,46.11
5,9,E9_V6->V7,5,6,2800.0,2782.41,3.0,75.76,50.0,3.0,0,585.81,50.0,551.35,44.47
5,10,E10_V7->V3,6,2,3100.0,3080.52,2.1,79.76,50.0,3.0,0,545.47,50.0,533.81,50.0
6,0,E0_V1->V2,0,1,4000.0,3969.84,3.5,84.72,70.0,4.0,0,549.5,67.07,357.0,67.03
6,1,E1_V1->V4,0,3,3200.0,3175.87,2.8,79.72,60.0,3.0,0,329.77,57.79,428.72,60.0
6,2,E2_V1->V5,0,4,3000.0,2977.38,4.5,74.72,60.0,3.0,0,512.84,60.0,490.98,60.0
6,3,E3_V2->V3,1,2,3500.0,3473.61,4.0,77.72,60.0,4.0,0,700.46,59.99,551.4,60.0
6,4,E4_V2->V5,1,4,2800.0,2778.89,1.8,81.72,50.0,3.0,0,588.5,50.0,614.16,50.0
6,5,E5_V3->V8,2,7,4200.0,4168.33,2.5,89.72,80.0,4.0,0,587.08,78.07,634.59,80.0
6,6,E6_V4->V5,3,4,2500.0,2481.15,1.5,69.72,50.0,2.0,0,399.98,50.0,564.34,50.0
6,7,E7_V5->V6,4,5,3600.0,3572.86,2.0,74.72,50.0,4.0,0,540.2,49.78,729.75,48.09
6,8,E8_V6->V2,5,1,2400.0,2381.91,2.2,71.72,50.0,2.0,0,687.67,46.11,571.06,50.0
6,9,E9_V6->V7,5,6,2800.0,2778.89,3.0,75.72,50.0,3.0,0,551.35,44.47,544.23,46.82
6,10,E10_V7->V3,6,2,3100.0,3076.63,2.1,79.72,50.0,3.0,0,533.81,50.0,457.38,50.0
7,0,E0_V1->V2,0,1,4000.0,3964.82,3.5,84.67,70.0,4.0,0,357.0,67.03,599.35,70.0
7,1,E1_V1->V4,0,3,3200.0,3171.85,2.8,79.67,60.0,3.0,0,428.72,60.0,481.38,58.04
7,2,E2_V1->V5,0,4,3000.0,2973.61,4.5,74.67,60.0,3.0,0,490.98,60.0,668.61,60.0
7,3,E3_V2->V3,1,2,3500.0,3469.21,4.0,77.67,60.0,4.0,0,551.4,60.0,670.14,60.0
7,4,E4_V2->V5,1,4,2800.0,2775.37,1.8,81.67,50.0,3.0,0,614.16,50.0,791.9,50.0
7,5,E5_V3->V8,2,7,4200.0,4163.06,2.5,89.67,80.0,4.0,0,634.59,80.0,539.38,80.0
7,6,E6_V4->V5,3,4,2500.0,2478.01,1.5,69.67,50.0,2.0,0,564.34,50.0,356.62,50.0
7,7,E7_V5->V6,4,5,3600.0,3568.34,2.0,74.67,50.0,4.0,0,729.75,48.09,861.38,49.04
7,8,E8_V6->V2,5,1,2400.0,2378.89,2.2,71.67,50.0,2.0,0,571.06,50.0,760.82,47.95
7,9,E9_V6->V7,5,6,2800.0,2775.37,3.0,75.67,50.0,3.0,0,544.23,46.82,687.29,49.68
7,10,E10_V7->V3,6,2,3100.0,3072.73,2.1,79.67,50.0,3.0,0,457.38,50.0,586.87,50.0
8,0,E0_V1->V2,0,1,4000.0,3959.79,3.5,84.62,70.0,4.0,0,599.35,70.0,439.11,67.48
8,1,E1_V1->V4,0,3,3200.0,3167.83,2.8,79.62,60.0,3.0,0,481.38,58.04,432.36,60.0
8,2,E2_V1->V5,0,4,3000.0,2969.84,4.5,74.62,60.0,3.0,0,668.61,60.0,481.0,60.0
8,3,E3_V2->V3,1,2,3500.0,3464.82,4.0,77.62,60.0,4.0,0,670.14,60.0,728.49,58.81
8,4,E4_V2->V5,1,4,2800.0,2771.86,1.8,81.62,50.0,3.0,0,791.9,50.0,640.11,47.84
8,5,E5_V3->V8,2,7,4200.0,4157.78,2.5,89.62,80.0,4.0,0,539.38,80.0,552.19,79.49
8,6,E6_V4->V5,3,4,2500.0,1237.44,1.5,69.62,50.0,2.0,1,356.62,50.0,436.89,50.0
8,7,E7_V5->V6,4,5,3600.0,3563.81,2.0,74.62,50.0,4.0,0,861.38,49.04,503.64,48.94
8,8,E8_V6->V2,5,1,2400.0,2375.88,2.2,71.62,50.0,2.0,0,760.82,47.95,646.63,49.55
8,9,E9_V6->V7,5,6,2800.0,2771.86,3.0,75.62,50.0,3.0,0,687.29,49.68,616.1,48.77
8,10,E10_V7->V3,6,2,3100.0,3068.84,2.1,79.62,50.0,3.0,0,586.87,50.0,582.17,48.06
9,0,E0_V1->V2,0,1,4000.0,3954.77,3.5,84.58,70.0,4.0,0,439.11,67.48,672.67,67.86
9,1,E1_V1->V4,0,3,3200.0,3163.82,2.8,79.58,60.0,3.0,0,432.36,60.0,464.82,60.0
9,2,E2_V1->V5,0,4,3000.0,2966.08,4.5,74.58,60.0,3.0,0,481.0,60.0,699.0,60.0
9,3,E3_V2->V3,1,2,3500.0,3460.42,4.0,77.58,60.0,4.0,0,728.49,58.81,738.14,60.0
9,4,E4_V2->V5,1,4,2800.0,2768.34,1.8,81.58,50.0,3.0,0,640.11,47.84,709.57,50.0
9,5,E5_V3->V8,2,7,4200.0,4152.51,2.5,89.58,80.0,4.0,0,552.19,79.49,663.09,80.0
9,6,E6_V4->V5,3,4,2500.0,2471.73,1.5,69.58,50.0,2.0,0,436.89,50.0,540.62,49.66
9,7,E7_V5->V6,4,5,3600.0,3559.29,2.0,74.58,50.0,4.0,0,503.64,48.94,677.21,48.4
9,8,E8_V6->V2,5,1,2400.0,2372.86,2.2,71.58,50.0,2.0,0,646.63,49.55,755.71,48.73
9,9,E9_V6->V7,5,6,2800.0,2768.34,3.0,75.58,50.0,3.0,0,616.1,48.77,619.2,50.0
9,10,E10_V7->V3,6,2,3100.0,3064.95,2.1,79.58,50.0,3.0,0,582.17,48.06,692.59,48.95
10,0,E0_V1->V2,0,1,4000.0,3949.75,3.5,84.53,70.0,4.0,0,672.67,67.86,463.6,70.0
10,1,E1_V1->V4,0,3,3200.0,3159.8,2.8,79.53,60.0,3.0,0,464.82,60.0,475.47,59.89
10,2,E2_V1->V5,0,4,3000.0,2962.31,4.5,74.53,60.0,3.0,0,699.0,60.0,477.49,60.0
10,3,E3_V2->V3,1,2,3500.0,3456.03,4.0,77.53,60.0,4.0,0,738.14,60.0,552.14,60.0
10,4,E4_V2->V5,1,4,2800.0,2764.82,1.8,81.53,50.0,3.0,0,709.57,50.0,589.69,50.0
10,5,E5_V3->V8,2,7,4200.0,4147.24,2.5,89.53,80.0,4.0,0,663.09,80.0,585.18,79.69
