epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.242681,0.030653,9.618
2,0.022627,0.019322,8.2789
3,0.018321,0.01894,8.8912
4,0.016865,0.016737,9.6648
5,0.015562,0.015142,8.1326
6,0.014557,0.014546,8.64
7,0.013891,0.013633,9.0553
8,0.0134,0.013394,8.4114
9,0.012952,0.012647,8.0892
10,0.012611,0.012349,8.2675
11,0.012363,0.012889,8.3215
12,0.012224,0.011883,8.3782
13,0.011997,0.012073,8.3709
14,0.011744,0.011809,8.1149
15,0.011689,0.011467,8.732
16,0.011524,0.011327,8.461
17,0.01132,0.01138,8.5265
18,0.011228,0.011073,8.4844
19,0.011143,0.011014,8.6169
20,0.011024,0.010901,8.4183
21,0.010864,0.010745,8.3302
22,0.01087,0.010586,8.2705
23,0.01088,0.010777,8.4175
24,0.010619,0.010387,8.4144
25,0.010592,0.010416,8.1539
26,0.010383,0.010256,8.5994
27,0.010347,0.010185,8.4599
28,0.010409,0.010698,16.675
29,0.010271,0.010083,24.8402
30,0.010098,0.010203,24.5169
31,0.010133,0.010414,23.7209
32,0.009892,0.009965,24.2288
33,0.009903,0.010014,25.1803
34,0.009856,0.009694,26.0595
35,0.009688,0.009621,23.8603
36,0.009657,0.009603,23.5598
37,0.009603,0.010069,23.6388
38,0.009554,0.009712,24.8466
39,0.009538,0.009305,24.2616
40,0.009536,0.00929,22.8863
