epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.309451,0.133177,1.0303
2,0.15228,0.144734,0.5691
3,0.152191,0.137091,0.5767
4,0.149466,0.130987,0.51
5,0.148305,0.128704,0.577
6,0.148918,0.125577,0.5984
7,0.146756,0.134149,0.5305
8,0.146981,0.126688,0.5426
9,0.146403,0.13102,0.5407
10,0.145953,0.124137,0.5361
11,0.145499,0.126741,0.5981
12,0.145668,0.129893,0.516
13,0.145006,0.126203,0.5136
14,0.144906,0.127956,0.4946
15,0.144394,0.128058,0.5123
16,0.144714,0.128388,0.6072
17,0.144029,0.126761,0.5087
18,0.143342,0.127057,0.6121
19,0.1445,0.128904,0.5521
20,0.14376,0.125588,0.5364
21,0.142382,0.123623,0.5847
22,0.143595,0.1359,0.5297
23,0.143824,0.130882,0.5621
24,0.144264,0.127341,0.5874
25,0.143348,0.12551,0.5138
26,0.142647,0.128782,0.5235
27,0.142182,0.125171,0.5762
28,0.143032,0.128823,0.5176
29,0.142908,0.127093,0.5089
30,0.14217,0.122583,0.5537
31,0.141431,0.126345,0.6127
32,0.141443,0.124854,0.5062
33,0.142332,0.128181,0.5308
34,0.141805,0.125443,0.5196
35,0.141763,0.123671,0.5121
36,0.141915,0.137796,0.5327
37,0.140986,0.125135,0.5207
38,0.140491,0.128581,0.4917
39,0.141925,0.130811,0.5254
40,0.139522,0.122645,0.5008
