epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.357919,0.18066,10.2757
2,0.192848,0.164172,10.7448
3,0.179509,0.168251,11.1452
4,0.170977,0.149295,10.5236
5,0.164046,0.147151,11.6678
6,0.159665,0.142385,11.3193
7,0.15519,0.143852,11.2314
8,0.153235,0.143356,11.6188
9,0.150003,0.143447,11.3014
10,0.147832,0.146223,11.7397
11,0.146222,0.145605,11.5828
12,0.146136,0.146234,11.288
13,0.144147,0.145372,10.7493
14,0.145467,0.147285,11.2877
15,0.143244,0.143681,11.1729
16,0.142082,0.146599,10.5348
17,0.140521,0.150596,10.6798
18,0.139916,0.144054,10.501
19,0.140105,0.149272,10.3737
20,0.138189,0.156266,10.4516
21,0.13899,0.158812,10.8481
22,0.135866,0.156607,10.5633
23,0.136037,0.164599,10.897
24,0.136379,0.152201,10.5867
25,0.134071,0.162557,11.043
26,0.133545,0.171009,11.0489
27,0.13337,0.161829,11.3854
28,0.132248,0.167078,11.5366
29,0.131436,0.170857,11.2373
30,0.13132,0.171514,11.9113
31,0.131297,0.171808,11.1915
32,0.131122,0.177703,11.4542
33,0.12998,0.179703,11.2641
34,0.129926,0.169287,11.0509
35,0.128856,0.174309,11.9524
36,0.128233,0.186325,11.3643
37,0.128178,0.178788,10.9293
38,0.127028,0.18086,10.0803
39,0.126409,0.180375,9.992
40,0.125607,0.196245,10.6266
