epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.242681,0.030653,10.6408
2,0.022627,0.019322,9.613
3,0.018321,0.01894,9.5635
4,0.016865,0.016737,9.7885
5,0.015562,0.015142,9.331
6,0.014557,0.014546,9.3843
7,0.013891,0.013633,9.3984
8,0.0134,0.013394,9.539
9,0.012952,0.012647,9.4365
10,0.012611,0.012349,9.3985
11,0.012363,0.012889,9.4667
12,0.012224,0.011883,9.5573
13,0.011997,0.012073,9.7459
14,0.011744,0.011809,9.3079
15,0.011689,0.011467,9.4809
16,0.011524,0.011327,9.4916
17,0.01132,0.01138,9.8038
18,0.011228,0.011073,9.4209
19,0.011143,0.011014,9.8289
20,0.011024,0.010901,9.5685
21,0.010864,0.010745,9.4451
22,0.01087,0.010586,9.7935
23,0.01088,0.010777,9.5094
24,0.010619,0.010387,9.3865
25,0.010592,0.010416,9.3727
26,0.010383,0.010256,9.5913
27,0.010347,0.010185,9.4587
28,0.010409,0.010698,9.3838
29,0.010271,0.010083,9.4284
30,0.010098,0.010203,9.5424
31,0.010133,0.010414,9.7027
32,0.009892,0.009965,10.0391
33,0.009903,0.010014,11.0839
34,0.009856,0.009694,10.4042
35,0.009688,0.009621,10.1925
36,0.009657,0.009603,10.1487
37,0.009603,0.010069,10.0067
38,0.009554,0.009712,10.4078
39,0.009538,0.009305,10.1529
40,0.009536,0.00929,10.5099
