epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.184313,0.01482,1.1117
2,0.018032,0.013757,0.7227
3,0.016745,0.014693,0.6601
4,0.016244,0.01397,0.6871
5,0.016089,0.014395,0.7199
6,0.015746,0.014157,0.7214
7,0.015337,0.013055,0.7216
8,0.015524,0.016141,0.6885
9,0.015248,0.013348,0.7115
10,0.015037,0.013387,0.6908
11,0.015083,0.013026,0.7338
12,0.014509,0.013034,0.7083
13,0.014476,0.013492,0.6765
14,0.013916,0.01392,0.6754
15,0.014096,0.012825,0.697
16,0.014263,0.012641,0.7123
17,0.01411,0.012938,0.6899
18,0.014223,0.013065,0.7286
19,0.013997,0.013513,0.7153
20,0.014361,0.013524,0.6845
21,0.013445,0.012676,0.6878
22,0.013909,0.012761,0.7077
23,0.013529,0.013694,0.662
24,0.013849,0.0124,0.6513
25,0.013337,0.012679,0.5919
26,0.013379,0.013995,0.6123
27,0.01375,0.013645,0.6985
28,0.013542,0.013152,0.7328
29,0.013519,0.012935,0.7083
30,0.013455,0.012741,0.6987
31,0.013448,0.012429,0.647
32,0.01315,0.013394,0.6741
33,0.013401,0.014084,0.6466
34,0.01357,0.01249,0.6863
35,0.012741,0.012324,0.6686
36,0.013037,0.012511,0.6784
37,0.012761,0.012834,0.6957
38,0.012626,0.012596,0.6813
39,0.012499,0.012135,0.6826
40,0.012584,0.012157,0.652
