epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.248313,0.037512,6.9663
2,0.026989,0.021902,6.8923
3,0.019881,0.018604,6.7281
4,0.01752,0.016931,6.4433
5,0.016124,0.015373,6.5436
6,0.014922,0.014369,6.8574
7,0.014029,0.013761,6.179
8,0.013456,0.013286,6.3373
9,0.013081,0.012867,6.4501
10,0.012769,0.012703,6.5751
11,0.012467,0.012268,6.67
12,0.012432,0.012353,6.1837
13,0.01219,0.011964,6.1348
14,0.012001,0.011809,6.2172
15,0.011908,0.011791,6.4531
16,0.011836,0.01173,6.6662
17,0.011681,0.011486,6.9051
18,0.011648,0.011372,7.0353
19,0.011452,0.011578,7.317
20,0.011455,0.011427,7.1911
21,0.011436,0.011114,6.3207
22,0.011216,0.011226,6.8049
23,0.011114,0.011017,6.6742
24,0.011103,0.010994,7.1636
25,0.010982,0.0109,6.8719
26,0.010943,0.010872,6.8604
27,0.010932,0.011724,6.9586
28,0.010907,0.01106,7.0465
29,0.010779,0.010691,7.1118
30,0.01064,0.010537,6.9571
31,0.010522,0.010423,6.4775
32,0.010478,0.010468,6.5414
33,0.010516,0.010365,7.1213
34,0.010377,0.010376,6.9571
35,0.010338,0.010642,6.6863
36,0.010307,0.010415,6.9685
37,0.010233,0.010231,6.9386
38,0.010249,0.00999,6.662
39,0.010193,0.011534,6.9975
40,0.010239,0.010718,6.9367
