epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.318502,0.192338,3.8902
2,0.200934,0.197238,3.7035
3,0.190305,0.194781,3.5659
4,0.185301,0.19274,3.7784
5,0.180513,0.189618,3.9804
6,0.178519,0.192085,3.7703
7,0.175697,0.18993,3.7355
8,0.174372,0.201397,3.6534
9,0.174432,0.18697,3.6478
10,0.17101,0.183895,3.6589
11,0.170173,0.182932,3.866
12,0.170209,0.186103,3.755
13,0.168022,0.194107,3.9118
14,0.168808,0.188367,2.8759
15,0.167104,0.190852,3.6197
16,0.166162,0.190243,2.9616
17,0.164341,0.180606,2.8658
18,0.164536,0.187322,3.6662
19,0.163686,0.201362,3.2845
20,0.16452,0.181439,3.6774
21,0.163655,0.17913,3.6469
22,0.162979,0.198334,3.7029
23,0.162383,0.184925,3.6205
24,0.162942,0.188551,3.0139
25,0.1623,0.181811,3.4472
26,0.162548,0.185352,3.0853
27,0.162317,0.203723,3.2696
28,0.162529,0.193653,2.8568
29,0.161429,0.187878,2.8073
30,0.161266,0.179429,2.8182
31,0.163144,0.193631,2.8251
32,0.161531,0.192089,2.8018
33,0.160734,0.188989,2.9573
34,0.161173,0.185377,2.8721
35,0.160465,0.191334,2.8306
36,0.161579,0.19719,2.8649
37,0.160967,0.19752,2.8453
38,0.160274,0.189341,2.8904
39,0.160019,0.191575,2.7995
40,0.16049,0.196693,2.8245
