epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.334466,0.179076,0.5556
2,0.179307,0.173315,0.2803
3,0.171729,0.18826,0.3101
4,0.17062,0.190615,0.3561
5,0.168454,0.197523,0.3034
6,0.168569,0.202868,0.3334
7,0.165336,0.199548,0.288
8,0.164662,0.200542,0.2956
9,0.165116,0.193105,0.3016
10,0.164976,0.186083,0.3269
11,0.16383,0.201149,0.3004
12,0.162877,0.207756,0.2614
13,0.162264,0.200188,0.3247
14,0.162528,0.188173,0.3544
15,0.162098,0.193509,0.3052
16,0.16063,0.200831,0.3206
17,0.160796,0.207239,0.3001
18,0.160694,0.201889,0.2953
19,0.160407,0.201899,0.2855
20,0.159694,0.194715,0.3015
21,0.160106,0.191256,0.2948
22,0.159805,0.195765,0.2966
23,0.158581,0.189515,0.2954
24,0.158494,0.209222,0.3177
25,0.157252,0.192378,0.305
26,0.158289,0.198916,0.3484
27,0.155737,0.186363,0.3083
28,0.15584,0.194125,0.328
29,0.156206,0.204823,0.3106
30,0.155164,0.195314,0.3006
31,0.15526,0.208849,0.2935
32,0.154989,0.212536,0.318
33,0.155185,0.198235,0.306
34,0.153681,0.202123,0.3034
35,0.153973,0.205216,0.2919
36,0.153639,0.193753,0.3097
37,0.152699,0.205868,0.2935
38,0.152755,0.22298,0.3005
39,0.150924,0.200014,0.3004
40,0.15162,0.207368,0.3039
