epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.348287,0.215717,10.8903
2,0.201586,0.194899,10.7091
3,0.188463,0.185905,10.7175
4,0.182819,0.186383,10.7067
5,0.179548,0.188196,10.6599
6,0.17755,0.178366,10.7989
7,0.175105,0.185504,10.7503
8,0.173074,0.18396,11.1035
9,0.172696,0.196082,11.1154
10,0.171139,0.18578,11.0367
11,0.168725,0.195108,11.0222
12,0.168033,0.188368,11.1265
13,0.167729,0.182685,10.8547
14,0.166637,0.185169,10.8015
15,0.165549,0.177023,10.8035
16,0.168042,0.182832,10.5567
17,0.165083,0.190625,10.8327
18,0.165472,0.188604,10.7027
19,0.165169,0.181119,11.0213
20,0.165278,0.181136,11.159
21,0.163658,0.189163,10.9479
22,0.163667,0.182547,10.8718
23,0.163931,0.184799,10.9451
24,0.163322,0.188178,10.6778
25,0.164162,0.183046,10.7357
26,0.162959,0.191661,10.8078
27,0.162505,0.190455,10.7133
28,0.162509,0.187268,10.7664
29,0.162449,0.183789,10.7241
30,0.162546,0.195834,11.2498
31,0.162757,0.185755,11.31
32,0.162291,0.205588,11.0126
33,0.161914,0.196418,11.1222
34,0.161176,0.184714,11.1212
35,0.160739,0.18573,10.9771
36,0.161159,0.188912,10.8247
37,0.161301,0.188143,10.8571
38,0.160819,0.177728,10.734
39,0.160811,0.202267,10.7669
40,0.160118,0.195096,10.6144
