epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.229488,0.102195,4.691
2,0.098744,0.086699,3.8536
3,0.092971,0.086543,3.6586
4,0.09012,0.081368,3.8076
5,0.088712,0.082642,3.3013
6,0.088397,0.077951,3.8575
7,0.087217,0.077464,3.3791
8,0.086702,0.079923,3.3781
9,0.086567,0.076497,3.5158
10,0.085925,0.082512,3.4287
11,0.085701,0.075504,3.5464
12,0.085776,0.076258,3.5516
13,0.08555,0.077888,3.5791
14,0.085665,0.076667,4.6212
15,0.085223,0.077253,3.3978
16,0.08519,0.076286,3.716
17,0.08539,0.080895,3.3343
18,0.084626,0.076417,3.3525
19,0.084228,0.075327,3.3249
20,0.084243,0.08102,3.3816
21,0.0842,0.079067,3.5361
22,0.084112,0.074207,3.3983
23,0.083754,0.075204,3.6677
24,0.084816,0.075428,3.5676
25,0.083541,0.076926,3.6857
26,0.083859,0.078195,3.3651
27,0.084278,0.07479,3.6299
28,0.083561,0.073828,3.6115
29,0.083584,0.074716,4.3767
30,0.08314,0.077803,4.1759
31,0.084344,0.073897,4.3349
32,0.083167,0.074055,4.0596
33,0.083223,0.076534,3.823
34,0.083105,0.07419,3.8852
35,0.08283,0.07383,3.8381
36,0.083109,0.07522,4.3405
37,0.083379,0.074854,4.358
38,0.083179,0.074986,3.4543
39,0.08247,0.073677,3.6012
40,0.083261,0.074831,3.5557
