epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.255505,0.085554,0.9521
2,0.094301,0.079333,0.6784
3,0.090894,0.079991,0.7086
4,0.090638,0.079348,0.5638
5,0.089725,0.075161,0.622
6,0.088416,0.077967,0.6526
7,0.088215,0.075982,0.679
8,0.08793,0.077184,0.5843
9,0.08792,0.073602,0.5281
10,0.087053,0.075892,0.5626
11,0.085681,0.073533,0.6287
12,0.086971,0.076142,0.5716
13,0.085805,0.077458,0.5451
14,0.085336,0.078099,0.5639
15,0.08547,0.074752,0.5709
16,0.084673,0.085199,0.6529
17,0.084706,0.074721,0.5884
18,0.084381,0.076652,0.5917
19,0.084064,0.073113,0.5497
20,0.084169,0.074505,0.5765
21,0.083644,0.07602,0.6117
22,0.083962,0.072879,0.5883
23,0.083005,0.080133,0.5176
24,0.083734,0.075574,0.5565
25,0.083087,0.077024,0.5464
26,0.083004,0.074477,0.5947
27,0.083059,0.075031,0.5474
28,0.082841,0.074242,0.5169
29,0.083044,0.074985,0.5221
30,0.082603,0.073954,0.5777
31,0.083109,0.075305,0.6814
32,0.082059,0.082667,0.6366
33,0.081715,0.073721,0.5683
34,0.08227,0.073932,0.5517
35,0.082562,0.074305,0.5491
36,0.081896,0.080467,0.6164
37,0.082035,0.074093,0.5146
38,0.082633,0.074913,0.5687
39,0.081921,0.074129,0.6233
40,0.082239,0.075865,0.5857
