epoch,train_loss_mse,val_loss_mse,epoch_time_sec
1,0.267564,0.098601,17.476
2,0.098227,0.085083,17.8091
3,0.091788,0.084832,17.5908
4,0.08999,0.082425,17.5434
5,0.088588,0.084373,17.4173
6,0.087594,0.079305,17.5328
7,0.086966,0.078305,17.4177
8,0.086256,0.077127,17.6775
9,0.085713,0.076374,17.6376
10,0.085339,0.078186,17.868
11,0.085283,0.079607,17.6574
12,0.085224,0.079314,17.5296
13,0.085169,0.07659,17.4273
14,0.085113,0.076507,17.453
15,0.084669,0.074726,17.5992
16,0.083639,0.07751,17.7978
17,0.084068,0.074573,17.6315
18,0.083745,0.074566,17.4736
19,0.083643,0.075186,17.4622
20,0.083403,0.074871,17.4883
21,0.083343,0.075139,17.5194
22,0.083127,0.074585,17.6737
23,0.083145,0.074514,17.6469
24,0.083274,0.073967,17.5566
25,0.082968,0.075319,17.5614
26,0.082809,0.074967,17.2922
27,0.082901,0.074881,17.4215
28,0.082479,0.073528,17.5893
29,0.08282,0.073818,17.8825
30,0.082731,0.076583,17.6458
31,0.08248,0.073427,17.8957
32,0.082499,0.073622,17.5905
33,0.082497,0.075338,17.4759
34,0.082494,0.077547,17.3668
35,0.082091,0.073268,17.5136
36,0.082277,0.076291,17.5885
37,0.08222,0.074321,17.768
38,0.081921,0.077327,17.7601
39,0.082614,0.074381,17.6557
40,0.082231,0.073161,17.6524
